Gym Name,State,Region,Gym Type,Boulder Grade Range,Rope Grade Range,Wall Style,Soft/Medium/Hard,One-Sentence Explanation
Planet Rock (Ann Arbor),MI,Midwest,Mixed,V0–V11,5.5–5.13+,Community/Old School,Medium,Community-driven vibe with grades that are fair but not discouraging; huge lead arches.
Mosaic Climbing,OH,Midwest,Mixed,Color Coded (V0–V11),5.5–5.13+,Sterile/Comp Style,Medium,"Modern, clean aesthetic with 'sterile' Walltopia walls; grading is color-coded and generally consistent."
Climb Time (Blue Ash),OH,Midwest,Bouldering,Tape (Solid/Stripe/Dot),—,Grunge/Plywood,Hard,"Old school 'dungeon' vibe with tape grading; focused on raw power, crimps, and realistic difficulty."
Boulders (Downtown),WI,Midwest,Bouldering,Circuits (Pink–Black),—,Geometric/Angles,Medium,"Madison’s bouldering hub; circuits are broad, but the 'Black' circuit offers legitimate difficulty."
Adventure Rock,WI,Midwest,Mixed,V0–V11,5.5–5.13,Varied Angles,Medium,"Well-rounded facility; grades are standard for the Midwest—approachable low end, stiff high end."
Climb So iLL (St. Louis),MO,Midwest,Mixed,Circuits/V-Scale,5.6–5.13,Aesthetic/Industrial,Soft,"Heavily stylized 'boutique' gym; prioritizes aesthetics and accessibility, often resulting in softer grades."
Upper Limits (Maryland Hts),MO,Midwest,Mixed,V0–V11,5.5–5.13+,Tall/Massive Arch,Hard,"The 'serious' gym of the area with tall, pumping lead walls that demand real endurance."
Chicago Bouldering Project,IL,Midwest,Bouldering,Circuits (Yellow–Black),—,Open Concept,Soft,"Like its sister gyms (SBP/ABP), the focus is on fun and flow, leading to accessible, softer grades."
The Cliffs (LIC),NY,Northeast,Mixed,V0–V12,5.6–5.13+,Commercial/Production,Medium,High production value sets; grades can be inconsistent but generally hover around 'commercial medium'.
Central Rock Gym (Cambridge),MA,Northeast,Bouldering,V0–V11,—,Steep & Powerful,Hard,Cambridge location is known for being significantly stiffer and more power-focused than other CRG locations.
The Gravity Vault (Hoboken),NJ,Northeast,Mixed,V0–V11,5.5–5.13,Textured/Features,Soft,Widely cited as very soft; often criticized for 'low-balling' grades to encourage rapid progression.
MetroRock (Everett),MA,Northeast,Mixed,V0–V12,5.6–5.13+,Old School/Strange,Hard,"Older walls with quirky, sometimes awkward setting that feels stiff and technical compared to modern gyms."
Brooklyn Boulders (Gowanus),NY,Northeast,Mixed,V0–V11,5.6–5.13,Gritty/Community,Soft,Original hipster gym vibe; historically soft grading to accommodate a high volume of casual climbers.
GP81,NY,Northeast,Bouldering,V0–V12+,—,Training/System,Very Hard,Built by climbers for climbers; no-frills training facility with arguably the stiffest grades in NYC.
Reach Climbing,PA,Northeast,Mixed,V0–V12,5.5–5.13+,Comp Style,Medium,Host to Nationals; setting leans heavily toward competition style (coordination/dynos) rather than outdoor simulation.
Movement (Timonium),MD,Northeast,Mixed,V0–V12,5.6–5.13,Big Box Commercial,Soft,formerly Earth Treks; huge facility with 'feel good' grading designed to keep members happy.
Iron City Boulders,PA,Northeast,Bouldering,V0–V11,—,Performance/Clean,Medium,Performance-focused setting that encourages progression; fair grades that aren't gift-wrapped.
Salt Pump,ME,Northeast,Mixed,Red-Point/No-Grade,5.6–5.13,Clean/Modern,Medium,Often hides grades on the back of tags to encourage trying routes; promotes experience over grade chasing.
